codmpio,depto,mpio,found,source,found2,comments
19100,CAUCA,BOLIVAR,1749,BZ93,,
19110,CAUCA,BUENOS AIRES,1823,BZ93,,
19130,CAUCA,CAJIBIO,1823,BZ93,,
19137,CAUCA,CALDONO,1746,BZ93,,
19142,CAUCA,CALOTO,1543,BZ93,,
19212,CAUCA,CORINTO,1865,BZ93,,
19256,CAUCA,TAMBO,1641,WEB.MUN,,
19355,CAUCA,INZA,1783,WEB.MUN,,
19364,CAUCA,JAMBALO,1700,BZ93,,
19392,CAUCA,LA SIERRA,1819,BZ93,,
19397,CAUCA,LA VEGA,1840,BZ93,,
19450,CAUCA,MERCADERES,1890,BZ93,,
19455,CAUCA,MIRANDA,1898,BZ93,,
19473,CAUCA,MORALES,1762,BZ93,,
19513,CAUCA,PADILLA,1967,BZ93,,
19517,CAUCA,PAEZ,1850,BZ93,,
19532,CAUCA,PATIA,1821,BZ93,,
19548,CAUCA,PIENDAMO,1924,BZ93,,
19573,CAUCA,PUERTO TEJADA,1897,BZ93,,
19585,CAUCA,PURACE,1840,BZ93,,
19622,CAUCA,DOLORES,1882,BZ93,,Today Rosas
19693,CAUCA,SAN SEBASTIAN,1850,BZ93,,
19698,CAUCA,SANTANDER DE QUILICHAO,1543,BZ93,,
19701,CAUCA,SANTA ROSA,1870,BZ93,,
19760,CAUCA,SOTARA,1879,BZ93,,
19780,CAUCA,SUAREZ,1989,BZ93,,
19807,CAUCA,TIMBIO,1780,BZ93,,
19821,CAUCA,TORIBIO,1735,BZ93,,
19824,CAUCA,TOTORO,1815,BZ93,,
20001,MAGDALENA,VALLEDUPAR,1550,BZ93,,
20011,MAGDALENA,AGUACHICA,1748,WEB.MUN,,
20013,MAGDALENA,ESPIRITUSANTO,1859,BZ93,,Today Agustin Codazzi
20032,CESAR,ASTREA,1984,BZ93,,
20175,MAGDALENA,CHIMICHAGUA,1750,BZ93,,
20178,MAGDALENA,CHIRIGUANA,1545,BZ93,,
20228,CESAR,CURUMANI,1965,BZ93,,
20238,CESAR,EL COPEY,1971,BZ93,,
20295,MAGDALENA,GAMARRA,1878,BZ93,,
20310,MAGDALENA,GONZALEZ,1535,BZ93,,
20383,MAGDALENA,LA GLORIA,1867,BZ93,,
20517,CESAR,PAILITAS,1950,BZ93,,
20550,CESAR,PELAYA,1948,BZ93,,
20614,MAGDALENA,RIO DE ORO,1534,BZ93,,
20787,MAGDALENA,TAMALAMEQUE,1544,BZ93,,
23068,BOLIVAR,AYAPEL,1543,BZ93,,
23168,BOLIVAR,CHIMA,1535,BZ93,,
23182,BOLIVAR,CHINU,1534,BZ93,,
23419,CORDOBA,LOS CORDOBAS,1930,BZ93,,
23466,CORDOBA,MONTELIBANO,1907,BZ93,,
23555,CORDOBA,PLANETA RICA,1955,BZ93,,
23570,CORDOBA,PUEBLO NUEVO,1914,BZ93,,
23574,CORDOBA,PUERTO ESCONDIDO,1961,BZ93,,
23586,BOLIVAR,PURISIMA,1533,BZ93,,
23670,BOLIVAR,SAN ANDRES SOTAVENTO,1538,BZ93,,
23807,CORDOBA,TIERRALTA,1912,BZ93,,
23855,CORDOBA,VALENCIA,1937,BZ93,,
25001,CUNDINAMARCA,AGUA DE DIOS,1861,BZ93,,
25019,CUNDINAMARCA,ALBAN,1882,BZ93,,
25035,CUNDINAMARCA,ANAPOIMA,1627,WEB.MUN,,
25040,CUNDINAMARCA,ANOLAIMA,1605,WEB.MUN,,
25053,CUNDINAMARCA,ARBELAEZ,1870,BZ93,,
25095,CUNDINAMARCA,BITUIMA,1544,BZ93,1772,
25099,CUNDINAMARCA,BOJACA,1602,BZ93,,
25120,CUNDINAMARCA,CABRERA,1913,BZ93,,
25148,CUNDINAMARCA,CAPARRAPI,1560,WEB.MUN,,"constantly moved, ""tierra de indios"""
25151,CUNDINAMARCA,CAQUEZA,1832,BZ93,,
